TIPOLOGIA,NOME,VIA,CITTA,CAP,PROVINCIA,EMAIL,TELEFONO,FAX,LAT,LONG
Ristorante,Antica Locanda Dellangelo,"Via Pescheria, 21",Lucca,55100,Lucca,info@anticalocandellangelo.com,0583467711,0583495445,43.842,10.503
Ristorante,Antica Locanda Dellangelo,"Via Pescheria, 21",Lucca,55100,Lucca,mail@anticalocandadellangelo.com,0583467711,,43.842,10.503
Ristorante,Antica Locanda Di Sesto,"Via Lodovica, 1660",Lucca,55100,Lucca,info@anticalocandadisesto.it,0583578181,0583578181,43.916,10.527
Ristorante,Antica Locanda La Pietra Di Paderno Giancarlo,Via Xxiv Maggio 69/b,Roccalbegna,58053,Grosseto,info@locandalapietra.it,0564989019,,42.786,11.507
Ristorante,Antica Osteria Al Castello,"Piazza Matteotti, 9/13",Lari,56035,Pisa,info@anticaosteriadilari.it,0587687868,,43.566,10.592
Ristorante,Antica Osteria Arco Vecchio,Via Arnaldo Da Brescia 13,Capoliveri,57031,Livorno,elbathomashote@libero.it,0565935358,,,
Ristorante,Antica Osteria Arco Vecchio,"Via Arnaldo Da Brescia, 13",Capoliveri,57031,Livorno,,0565935358,,,
Ristorante,Antica Osteria Dei Mercanti,Via Ser Lapo Mazzei  8,Carmignano,59015,Prato,info@osteriadeimercanti.net,0558711587,,43.813,11.019
Ristorante,Antica Osteria Dei Tre Briganti,Via Mattetti 45,Suvereto,57028,Livorno,trebriganti@hotmail.it,,,43.079,10.679
Ristorante,Antica Osteria Di Meati,"Via Della Chiesa, 1237","Meati, Lucca",55100,Lucca,patrica@tele2.it,0583510373,,43.832,10.456
Ristorante,Antica Osteria Di Vico,"Via Della Villa, 1",,50100,Firenze,info@anticaosteriadivico.it,0558073279,,43.514,11.099
Ristorante,Antica Osteria Lagania,"Via G.Mazzini, 10",Arezzo,52100,Arezzo,,0575295381,,43.464,11.882
Ristorante,Antica Osteria Parenti,Via Norma Parenti,"In Borgo, Massa Marittima",54028,Grosseto,anticaosteriapizzeria@virgilio.it,,,43.053,10.888
Ristorante,Antica Trattoria Al Principe,"Piazza Giovi, 25/a","Giovi, Arezzo",52010,Arezzo,info@anticatrattoriaalprincipe.it,0575362046,0575362046,43.53,11.865
Ristorante,Antica Trattoria Da Bruno,"Via Luigi Bianchi, 12",Pisa,56100,Pisa,ristorantedabruno@interfree.it,,050550607,43.723,10.402
Ristorante,Antica Trattoria Da Guido,"Via Madonna Del Prato, 85",Arezzo,52100,Arezzo,,,,43.463,11.878
Ristorante,Antica Trattoria Del Turbone,"Via Turbone, 35/37/39","Turbone, Montelupo Fiorentino",50056,Firenze,info@anticatrattoriadelturbone.it,0571542035,0571608629,43.719,11.035
Ristorante,Antica Trattoria Idina,"Via Sant'ambrogio, 8",Viareggio,55049,Lucca,,,,43.885,10.241
Ristorante,Antica Trattoria La Foce,,"La Foce, 30, Castiglion Fiorentino",52043,Arezzo,,0575658187,0575-658187,43.329,11.923
Ristorante,Antica Trattoria La Grotta,"Via Marco Polo, 6","Sassa, ",56040,Pisa,,,,43.26,10.692
Ristorante,Antica Trattoria La Torre,"Piazza Del Comune, 15",Castellina In Chianti,53011,Siena,info@anticatrattorialatorre.com,0577740236,0577740228,43.469,11.287
Ristorante,Antica Trattoria Stefani Da Benedetto,Via Borgo S.Lorenzo A Vaccoli,"S. Lorenzo A Vaccoli, Lucca",55100,Lucca,info@trattoriastefani.it,0583379031,0583379875,43.793,10.484
Ristorante,Antica Tratttoria Botteganova,Strada Chiantigiana 29,"Botteganova, Siena",53100,Siena,info@anticatrattoriabotteganova.it,0577284230,0577-280414,43.586,11.315
Ristorante,Antico Cafe La Posta Di Luca Venezia,"Via Cesare Guasti, 11","Prato, Abbadia San Salvatore",59100,Siena,info@AnticoCafeLaPosta.it,,574053818,,
Ristorante,Antico Caffe Del Sonno,Viale Umberto 146/148,Bagni Di Lucca,55022,Lucca,info@ristorantedelsonno.it,0583805080,,44.009,10.59
Ristorante,Antico Molino Dorcia,Strada Prov.Le 64,"Loc. Molino 1, Castel Del Piano",58033,Grosseto,info@anticomolinodorcia.it,0564957438,,42.889,11.536
Ristorante,Antico Ponte,"Corso Matteotti, 25",Cecina,57023,Livorno,,0586680065,,43.314,10.515
Ristorante,Antico Posto Di Ristoro,Via Libbia,"La Scheggia, Anghiari",52031,Arezzo,,0575749174,,43.546,12.022
Ristorante,Antico Ristorante Conti,"Piazza Di Montenero, 16","Montenero, Livorno",57128,Livorno,,0586579021,0586579021,43.493,10.349
Ristorante,Antico Ristoro Le Colombaie,Via Montanelli,"La Catena, San Miniato",56028,Pisa,info@lecolombaie.eu,0571484220,,43.689,10.819
Ristorante,Antico Ristoro Le Colombaie,Via Montanelli,"Catena, San Miniato",56028,Pisa,info@lecolombaie.eu,0571484220,,43.695,10.811
Ristorante,Antico Uliveto,"Via Martiri Di S. Anna, 76","Pozzi Di Seravezza, Seravezza",55047,Lucca,info@antico-uliveto.it,0584768882,0584768882,43.97,10.194
Ristorante,Aragosta,"Piazza Dell'arsenale, 6",Livorno,57123,Livorno,info@aragostasrl.com,0586895395,0586895395,43.549,10.303
Ristorante,Arcimboldo,"Via Per Iolo, 2",Prato,59100,Prato,arcimboldowinebar@alice.it,0574669088,,43.87,11.054
Ristorante,Aroma Di...Vino,"Via S. Stefano, 24",Prato,59100,Prato,info@pratoaromadivino.it,0574433800,0574433800,43.882,11.099
Ristorante,Asinello Ristorante,"Via Nuova, 6","Villa A Sesta, Castelnuovo Berardenga",53019,Siena,info@asinelloristorante.it,,,,
Ristorante,Ass. Cuochi Medicei Chiantigiani,Via Tavolese,Certaldo,,Firenze,,0571660224,0571660224,43.556,11.072
Ristorante,Avalon Di Cristiano Bucaioni,"Loc. Dolciano, 9",Chiusi,53043,Siena,avalontaverna@libero.it,,,,
Ristorante,Aviazione Campo Di Marte,"Viale Malta, 4","Campo Di Marte, Firenze",50137,Firenze,aviazionecampodimarte@virgilio.it,0555801358,0555801358,43.776,11.282
Ristorante,B&b Belvedere,"Piazza San Tommaso, 33","Belvedere, Suvereto",57028,Livorno,info@belvederedisuvereto.it,0565827071,,43.077,10.678
Ristorante,B. Di M. Eugenio,Via Machiavelli,Viareggio,55049,Lucca,eugenio.vassalle@libero.it,,,,
Ristorante,Baccarossa,"Via Ghibellina, 46r",Firenze,50122,Firenze,info@baccarossa.it,,055240620,43.77,11.265
Ristorante,Bacco & La Volpe,"Via Dei Poderini,1","Castelnuovo Della Misericordia, Rosignano Marittimo",57016,Livorno,volpesilvia@hotmail.it,0586744323,,,
Ristorante,Bacco Goloso,"Via Dei 5 Martiri, 3",Carmignano,59015,Prato,,0558751433,,,
Ristorante,Baccus Losteria,"Corso Rosellino, 70",Pienza,53026,Siena,Baccus.osteria@libero.it,0578749080,0578749080,43.076,11.681
Ristorante,Bagno La Perla,"Viale Della Vittoria, 72",Cecina,57023,Livorno,,0586621196,,43.294,10.498
Ristorante,Bagno Lelia,Terrazza Della Repubblica 21,"Citt� Giardino, Viareggio",55049,Lucca,info@bagnolelia.it,,58450006,43.884,10.233
Ristorante,Bagno Ristorante Il Cavallone,Viale Sergio Bernardini 722,"Lido Di Camaiore, Camaiore",55041,Lucca,laura.bagnocavallone@gmail.com,,,43.942,10.297
Ristorante,Bagou Bally Juvenal,Via Maromme 30/6,Signa,50058,Firenze,ballyjuvenal@gmail.com,,,,
Ristorante,Bahia,"Via Martiri Di Sant'anna, 66",Forte Dei Marmi,55042,Lucca,alba.182@hotmail.it,,,,
Ristorante,Banca Della Bistecca,Via Galilei,"Lavaiano, Lari",56035,Pisa,castero57@gmail.com,0587616121,,,
Ristorante,Bar La Mandria,Centro Di Pescia Fiorentina,"Pescia Fiorentina, Capalbio",58011,Grosseto,info@antoniozizicapalbio.com,,,42.437,11.477
Ristorante,Bar La Piazza,Piazza Tanucci,Stia,52017,Arezzo,boccalini@confcommercio.ar.it,3392530721,,,
Ristorante,Bar Petrarca,"Piazzale Porta Romana, 6/r",Firenze,,Firenze,,,,43.76,11.242
Ristorante,Bar Pizzaria Il Faro,"Via Del Secco, 146","Lido Di Camaiore, Camaiore",55041,Lucca,,0584618007,,43.904,10.222
Ristorante,Bar Pizzeria Il Boschetto,Via Il Cerro 120/c,Caprese Michelangelo,52033,Arezzo,,0575793731,,43.639,11.988
Ristorante,Bar Pizzeria Osteria Conca Doro,"Via Chiantigiana, 31 - Panzano In Chianti","Panzano In Chianti, Greve In Chianti",50022,Firenze,info@pizzeriaconcadoro.it,,,43.541,11.317
Ristorante,Bar Risorante Albergo Riva Del Lago,Via Rimessa Agliano,Minucciano,55034,Lucca,rivadellago@libero.it,0583610086,,44.166,10.25
Ristorante,Bar Ristorante Perbaccio,"Via Galvani, 9",Pistoia,51100,Pistoia,baccoperbacco2011@yahoo.it,0573530049,0573/530049,43.934,10.932
Ristorante,Bar Ristorante Romoli,"Via Giuseppe Garibaldi, 20","Cupi, Magliano In Toscana",58051,Grosseto,,0564589811,,42.645,11.321
Ristorante,Bar S.Firenze,"Piazza San Firenze, 1/r",Firenze,,Firenze,barsanfirenze@tele2.it,,,43.77,11.258
Ristorante,Bar Sibra Cafe,"Via Toti, 21 A",Montecatini Terme,,Pistoia,,,57275786,,
Ristorante,Bar Trattoria Da Ginone,"Via Dei Serragli, 35/r",Firenze,50124,Firenze,trattoriaginone@interfree.it,,055218758,43.767,11.246
Ristorante,Barlume Cafe,Via Volpe 120,"Ospedaletto, Pisa",56121,Pisa,daniela@barlume-cafe.it,3282992558,,43.681,10.438
Ristorante,Barone Di Ferro,Piazza Rossi 1,"San Gusm�, Castelnuovo Berardenga",53019,Siena,info@baronediferro.it,,,43.388,11.498
Ristorante,Bastian Contrario Osteria,Via San Paolino 69,Lucca,55100,Lucca,info@bastiancontrarioosteria.it,,,43.843,10.499
Ristorante,Bellezza,"Via Ciro Menotti, 35/e","Marina Di Carrara, Carrara",54033,Massa Carrara,ristorantebellezza@gmail.com,0585788862,,44.038,10.046
Ristorante,Biagio Pignatta,Viale Papa Giovanni Xxiii,Carmignano,59015,Prato,ristorante@artimino.com,0558751406,,43.783,11.043
Ristorante,Bibere,Via Della Libert� 59/a,Montescudaio,56040,Pisa,ristorantebiberenoteca@gmail.com,0586685888,,43.326,10.627
Ristorante,Bioveggy,Via Erbosa 12r,Firenze,50100,Firenze,info@bioveggy.it,3338359787,055670268,43.796,11.146
Ristorante,Birreria Red Lio,"Via Paolo Savi, 367",Viareggio,55049,Lucca,,3387538202,,43.862,10.244
Ristorante,Birrificio Artigianale Lilium,Via Rossi 2,Signa,50058,Firenze,alfredo@birrificiolilium.com,3384388671,,,
Ristorante,Bistrot,Via Mammianese 1,"Vellano, Pescia",51017,Pistoia,serenabeccari@tiscali.it,0572409159,,,
Ristorante,Bistrot 29,"Piazza Della Repubblica, 29","Centro Storico, Portoferraio",57037,Livorno,info@bistrot29.com,,,,
Ristorante,Bistrot Ristorante Pizzeria,B.Go Giacomo Matteotti Nﾰ1,"Vellano Fraz. Pescia, Pescia",51017,Pistoia,serenabeccari@virgilio.it,0572409159,,43.907,10.689
Ristorante,Boca Chica,"Viale Europa, 1","Torre Del Lago, Viareggio",55049,Lucca,,0584350976,,43.856,10.244
Ristorante,Boccanegra,"Via Ghibellina, 124/r",Firenze,50122,Firenze,info@boccanegra.com,0552263038,0552001098,43.77,11.261
Ristorante,Boccon Divino Snc,"Via Cafaggiolo, 10","Palaie, Pelago",,Firenze,info@boccondivinofirenze.it,0558311279,0558311279,43.771,11.466
Ristorante,Borgo Antico,"Piazza Santo Spirito, 6/r",Firenze,50100,Firenze,albertogargelli@alice.it,,,43.766,11.248
Ristorante,Borgo La Fornace Ristorante La Fuga,Via Prov. Dell'ecce Homo,"Montignoso, Gambassi Terme",50050,Firenze,info@borgolafornace.it,0571169531,,,
Ristorante,Borgo San Jacopo,Via Borgo San Jacopo 32/r,Firenze,50125,Firenze,bsj@lungarnocollection.com,,,43.701,10.744
Ristorante,Botton Doro,"Via Del Ponte Guasperini, 873","San Lorenzo A Vaccoli, Lucca",55100,Lucca,bottondoro@albergovillamarta.it,0583370707,0583379999,43.799,10.487
Ristorante,Break Food,Via Santa Maria Goretti,Viareggio,55049,Lucca,marzorati63@gmail.com,3289787161,,,
Ristorante,Buca Di Michelangelo,Via Roma 51,Caprese Michelangelo,52033,Arezzo,albergo@bucadimichelangelo.it,0575793921,0575793941,43.671,12.041
Ristorante,Buca Di S. Antonio,"Via Della Cervia, 3",Lucca,55100,Lucca,info@bucadisantantonio.com,,0583312199,43.843,10.502
Ristorante,Buoninsegna,Strada Per Poggio Santa Cecilia,"Buoninsegna, Rapolano Terme",53040,Siena,info@buoninsegna.it,0577724380,,,
Ristorante,Butterfly,S.S 192 Del Brennero,"Marlia, Lucca",55100,Lucca,info@ristorantebutterfly.it,0583307573,,43.855,10.51
Ristorante,Cera Una Volta,"Localit� Piano Di Bibola, 2",Aulla,54011,Massa Carrara,ceraunavolta@fastwebnet.it,0187409798,,,
Ristorante,Ce Del Setta,"Via Della Badia, 16","Montepiano, Vernio",59026,Prato,cadelsetta@gmail.com,0574959829,,,
Ristorante,Caciosteria Due Ponti,Via Ponte Della Venturina 47,"Pavana, Sambuca Pistoiese",51020,Pistoia,caciomania@alice.it,,,44.15,10.985
Ristorante,Caciosteria I Due Ponti,Via Ponte Venturina 47,"Pavana, Sambuca Pistoiese",51020,Pistoia,caciomania@alice.it,0573892520,0573892520,44.129,10.996
Ristorante,Caffe Al N.5,"Piazza Mino,5",Fiesole,50014,Firenze,caffealn.5@gmail.com,0555925034,,43.807,11.294
Ristorante,Caffe Dei Fornelli,Piazzetta Dei Fornelli 3-4,Volterra,56048,Pisa,caffedeifornelli@rgilio.it,,,,
Ristorante,Caffe Del 900,"Borgo Ognissanti, 3/r",Firenze,,Firenze,"caffedel900@aol.it,axcsar@tin.it",,055218390,43.771,11.247
Ristorante,Caffe Delle Mura,Piazzale Vittorio Emanuele 2,Lucca,55100,Lucca,info@caffedellemuralucca.it,0583464552,,43.842,10.5
Ristorante,Caffe Grande,Via Monte Matanna 1/a,Viareggio,55049,Lucca,giovanni.margaglia@libero.it,3493070024,,43.876,10.256
Ristorante,Caffe La Corte,Via Del Ceppo 2,Pistoia,51100,Pistoia,caffelacorte3@virgilio.it,0573358369,,43.935,10.92
Ristorante,Caffe Le Rose,"Piazza Dell'unit� Italiana, 1/r",Firenze,50123,Firenze,a.cursano@alice.it,,0557134800,43.775,11.25
Ristorante,Caffe Poliziano,"Via Voltaia Del Corso, 27/29",Montepulciano,53045,Siena,caffepoliziano@libero.it,0578758615,0578/752856,,
Ristorante,Caffe Ristorante Gli Artisti,"Piazza Giovanni Xxiii, N. 4",Pistoia,51100,Pistoia,info@ristocafgliartisti.it,0573977639,05739776391,43.935,10.918
Ristorante,Caffe Ristorante Gli Artisti,"Piazza Giovanni Xxiii, 4",Pistoia,51100,Pistoia,info@ristocafgliartisti.it,,+390573976391,43.931,10.92
Ristorante,Caffe Stazione,"Via Ridolfi, 34",Castelfiorentino,,Firenze,caffestazione@caffestazione.it,,057164164,43.605,10.968
Ristorante,Caffe Del Teatro,Piazza Signorelli 13,Cortona,52043,Arezzo,theglobe@cat.it,,,43.276,11.985
Ristorante,Caffescondido,"Via Del Carmine, 65",Portoferraio,57037,Livorno,alexandra-66@libero.it,3403400881,,42.815,10.33
Ristorante,Caffetteria Delle Oblate,Via Dell'oriuolo 26,Firenze,50122,Firenze,barbara.setti@archeologia.it,,55576938,43.772,11.26
Ristorante,Caffetteria Pardini,Via Cesare Battisti Nﾰ 139,Viareggio,,Lucca,info@caffetteriapardini.it,3497103745,,43.869,10.248
Ristorante,Calamoresca,Golfo Calamoresca Salivoli,"Salivoli, Piombino",57025,Livorno,calamorescabeach@gmail.com,,56542029,42.935,10.518
Ristorante,California Park Hotel Restaurant,Via Aurelia Km. 338,"Madonna Dell'acqua, San Giuliano Terme",56017,Pisa,info@parkhotelcalifornia.it,,,,
Ristorante,Cantina Barbagianni,"Via S. Egidio, 13r",Firenze,0,Firenze,info@cantinabarbagianni.it,0552480508,,43.772,11.261
Ristorante,Cantina Barbagianni,Via S.Egidio 13/r,Firenze,50122,Firenze,lina.alongi@gmail.com,0552480508,,,
Ristorante,Cantina Del Granduca,"Piazza Mameli, 13",Anghiari,53031,Arezzo,cantinadelgranduca@yahoo.it,0575788275,,43.541,12.056
Ristorante,Cantina Delle Pianacce,Via Nazionale 193 - Ghivizzano,Coreglia Antelminelli,55025,Lucca,lacantinadellepianacce@yahoo.it,0583779162,,44.026,10.521
Ristorante,Cantina Titos,"Piazza Della Sala, 1",Pistoia,51100,Pistoia,cantinatitos@gmail.com,3288259690,,43.933,10.916
Ristorante,Cantine Bernardini,"Via Del Suffragio, 7",Lucca,55100,Lucca,info@cantinebernardini.com,0583494336,0583494336,43.843,10.506
Ristorante,Casa Del Chiodo,Via Oberdan 8 Piloni (gr),"Piloni, Roccastrada",58036,Grosseto,casadelchiodo@virgilio.it,,,43.011,11.167
Ristorante,Casa Del Pellegrino,Loc. Monte Argegna 29,Minucciano,55034,Lucca,,0583611012,,,
Ristorante,Casa Dellorzo,Via Vittorio Emanuele 49,Castagneto Carducci,57022,Livorno,casadellorzo@gmail.com,,,43.16,10.608
Ristorante,Casa Di Caccia,Via Del Mare 40,"Marina Di Bibbona, Bibbona",57020,Livorno,info@campingcasadicaccia.com,,,43.246,10.525
Ristorante,Casa Di Caccia,"Via Del Mare, 40 C/o Campeggio Casa Di Caccia","Marina Bibbona, Bibbona",,Livorno,info@sterne.it - info@campingcasadicaccia.com,3381537135,,,
Ristorante,Casa Di Cacia,Via Del Mare 40,"Marina Di Bibbona, Bibbona",57020,Livorno,info@campingcasadicaccia.com,,,,
Ristorante,Casa Livia,Strada Della Trappola - Via Aurelia Antica 50,Grosseto,58100,Grosseto,info@speronicatering.it,,,42.747,11.11
Ristorante,Casa Masi,"Via Collerucci, 53",Montaione,,Firenze,info@casamasimontaione.it,0571677170,0571677041,43.583,10.878
Ristorante,Casa Masi,Via Collerucci 53,Montaione,50050,Firenze,,0571677170,0571/677042,43.583,10.877
Ristorante,Casa Montecucco,Loc,Abbadia San Salvatore,0,Siena,casamontecucco@libero.it,3337977899,,42.881,11.677
Ristorante,Casa Montecucco,"Loc. Castel Dei Pietra, 13",Gavorrano,58023,Grosseto,info@casamontecucco.it,,056680135,,
Ristorante,Casale Del Mare,Strada Vicinale Delle Spianate,"Castiglioncello, Rosignano Marittimo",57016,Livorno,info@casaledelmare.it,3404524303,,,
Ristorante,Casato Enoristorante,"Via Casato Di Sotto, 18/26",Siena,53100,Siena,casato@casato-siena.it,0577222758,0577224490,43.318,11.331
Ristorante,Castello Di Bucignano,Montecastelli Pisano,"Ex Castello Medioevale, ",56041,Pisa,info@toscanarelax.it,,,,
Ristorante,Chalet - Fatto In Maremma,Piazza Del Popolo 7,Grosseto,58100,Grosseto,caragres@gmail.com,3281091418,,42.763,11.113
Ristorante,Chalet Del Lago,Piazzale Belvedere Puccini,"Torre Del Lago, Viareggio",55049,Lucca,chaletdellago@info.it,,,43.866,10.251
Ristorante,Chapeau,"Via Maggio, 1","P.Zza De' Frescobaldi, Firenze",50125,Firenze,info@chapeaufood.com,,,,
Ristorante,Chapeau Food,"Via Maggio,1","P.Zza De' Frescobaldi, Firenze",50125,Firenze,info@chapeaufood.com www.chapeaufood.com,,,,
Ristorante,Chapeau Gastronomia,"Via Duccio Da Buoninsegna,10","Soffiano, Firenze",50143,Firenze,info@chapeaufood.com,0557398993,,,
Ristorante,Chianino,Via Guido Monaco 25/23,Arezzo,52100,Arezzo,info@chianinoarezzo.it,,,43.463,11.878
Ristorante,Chiosco Bello,Via Spiaggia Del Lago,"Castel Gandolfo, Barberino Di Mugello",40,Firenze,info@chioscobello.com,,,44.007,11.238
Ristorante,Ciccio Marina,Viale Giovanni Da Verazzano 1,"Marina Di Carrara, Carrara",54033,Massa Carrara,cicciomarina@ristoranteciccio.it,,,44.034,10.049
Ristorante,Clara,"Via Aurelia, 289","Lido Di Camaiore, Camaiore",55041,Lucca,,0584616301,,43.911,10.224
Ristorante,Club Sporting Srl,Via Ponte Dei Bari N.200,Montecatini Terme,51016,Pistoia,alessia.arrigoni@tiscali.it,,,,
