TIPOLOGIA	NOME	VIA	CITTA'	CAP	PROVINCIA	EMAIL	TELEFONO	FAX	LAT	LONG
RISTORANTE	Antica Locanda La Pietra di Paderno Giancarlo	via XXIV Maggio 69/b	ROCCALBEGNA	58053	Grosseto	info@locandalapietra.it	0564 989019/(+39) 3497596210		42.786156	11.506604
RISTORANTE	Antica Osteria Al Castello	Piazza Matteotti, 9/13	LARI	56035	Pisa	info@anticaosteriadilari.it	0587 687868		43.565931	10.592462
RISTORANTE	Antica osteria Arco vecchio	via Arnaldo da Brescia 13	CAPOLIVERI	57031	Livorno	elbathomashote@libero.it	0565 935358		-0	-0
RISTORANTE	Antica Osteria Arco Vecchio	via arnaldo da Brescia, 13	CAPOLIVERI	57031	Livorno		0565 935358		-0	-0
RISTORANTE	Antica Osteria dei Mercanti	via Ser Lapo Mazzei  8	CARMIGNANO	59015	Prato	info@osteriadeimercanti.net	055 8711587		43.8134609	11.018891
RISTORANTE	Antica Osteria dei Tre Briganti	via Mattetti 45	SUVERETO	57028	Livorno	trebriganti@hotmail.it	565829116		43.079218	10.678535
RISTORANTE	Antica Osteria di Meati	Via della Chiesa, 1237	Meati, LUCCA	55100	Lucca	patrica@tele2.it	0583 510373		43.8320593947	10.4564347843
RISTORANTE	Antica Osteria di Vico	Via della Villa, 1		50100	Firenze	info@anticaosteriadivico.it	055 8073279		43.513506	11.098876
RISTORANTE	Antica Osteria L'Agania	Via G.Mazzini, 10	AREZZO	52100	Arezzo		0575 295381		43.464063	11.882469
RISTORANTE	Antica Osteria PARENTI	Via Norma Parenti	In Borgo, MASSA MARITTIMA	54028	Grosseto	anticaosteriapizzeria@virgilio.it	566901957		43.0532504	10.8880322
RISTORANTE	Antica Trattoria Al Principe	Piazza Giovi, 25/a	Giovi, AREZZO	52010	Arezzo	info@anticatrattoriaalprincipe.it	0575 362046	0575 362046	43.53021622	11.86475277
RISTORANTE	Antica Trattoria Da Bruno	Via Luigi Bianchi, 12	PISA	56100	Pisa	ristorantedabruno@interfree.it	050 560818	050 550607	43.7231448	10.4019552
RISTORANTE	Antica Trattoria da Guido	Via Madonna del Prato, 85	AREZZO	52100	Arezzo		0575 23760		43.462515	11.878481
RISTORANTE	Antica Trattoria del Turbone	Via Turbone, 35/37/39	turbone, MONTELUPO FIORENTINO	50056	Firenze	info@anticatrattoriadelturbone.it	0571 542035	0571 608629	43.718998	11.035219
RISTORANTE	Antica Trattoria Idina	Via Sant'Ambrogio, 8	VIAREGGIO	55049	Lucca		0584 53598		43.884764	10.240712
RISTORANTE	Antica Trattoria La Foce		La Foce, 30, CASTIGLION FIORENTINO	52043	Arezzo		0575 658187	0575-658187	43.3290786743	11.9233961105
RISTORANTE	Antica Trattoria La Grotta	Via Marco Polo, 6	Sassa, 	56040	Pisa		0588 37814		43.2597475989	10.6922103532
RISTORANTE	Antica Trattoria La Torre	Piazza del Comune, 15	CASTELLINA IN CHIANTI	53011	Siena	info@anticatrattorialatorre.com	0577 740236	0577 740228	43.4690416705	11.2871932544
RISTORANTE	"Antica Trattoria Stefani da ""Benedetto"""	via borgo S.lorenzo a Vaccoli	S. Lorenzo a Vaccoli, LUCCA	55100	Lucca	info@trattoriastefani.it	0583 379031	0583 379875	43.7934251	10.4840233
RISTORANTE	Antica Tratttoria Botteganova	strada Chiantigiana 29	Botteganova, SIENA	53100	Siena	info@anticatrattoriabotteganova.it	0577-284230	0577-280414	43.5861606	11.3151371
RISTORANTE	Antico Caf� la Posta di Luca Venezia	via Cesare Guasti, 11	Prato, ABBADIA SAN SALVATORE	59100	Siena	info@AnticoCafeLaPosta.it	574053818	574053818	-0	-0
RISTORANTE	Antico Caff� del Sonno	Viale Umberto 146/148	BAGNI DI LUCCA	55022	Lucca	info@ristorantedelsonno.it	0583.805080		44.0094577	10.58999
RISTORANTE	Antico Molino D'Orcia	Strada prov.le 64	loc. Molino 1, CASTEL DEL PIANO	58033	Grosseto	info@anticomolinodorcia.it	0564/957438		42.8886343	11.5357849
RISTORANTE	Antico Ponte	Corso Matteotti, 25	CECINA	57023	Livorno		0586 680065		43.314	10.515313
RISTORANTE	Antico Posto di Ristoro	Via Libbia	La Scheggia, ANGHIARI	52031	Arezzo		0575 749174		43.546171	12.021875
RISTORANTE	"Antico Ristorante ""Conti"""	Piazza di Montenero, 16	Montenero, LIVORNO	57128	Livorno		0586 579021	0586 579021	43.492973	10.349201
RISTORANTE	Antico ristoro Le colombaie	via montanelli	la catena, SAN MINIATO	56028	Pisa	info@lecolombaie.eu	0571 484220		43.6893168	10.8187312
RISTORANTE	Antico ristoro Le Colombaie	via Montanelli	Catena, SAN MINIATO	56028	Pisa	info@lecolombaie.eu	0571 484220		43.69473161	10.81050155
RISTORANTE	Antico Uliveto	Via Martiri di S. Anna, 76	Pozzi di Seravezza, SERAVEZZA	55047	Lucca	info@antico-uliveto.it	0584 768882	0584 768882	43.969722	10.193755
RISTORANTE	Aragosta	Piazza dell'Arsenale, 6	LIVORNO	57123	Livorno	info@aragostasrl.com	0586 895395 - 349 8607525	0586 895395	43.5485905	10.303107
RISTORANTE	Arcimboldo	Via Per Iolo, 2	PRATO	59100	Prato	arcimboldowinebar@alice.it	0574 669088 		43.8701786805	11.0537186056
RISTORANTE	Aroma Di...Vino	Via S. Stefano, 24	PRATO	59100	Prato	info@pratoaromadivino.it	0574 433800 - 3289557490	0574 433800	43.8817755	11.0985086
RISTORANTE	Asinello Ristorante	Via nuova, 6	Villa a Sesta, CASTELNUOVO BERARDENGA	53019	Siena	info@asinelloristorante.it	577359279		-0	-0
RISTORANTE	Ass. Cuochi Medicei Chiantigiani	via tavolese	CERTALDO		Firenze		0571 660224	0571 660224	43.5556006579	11.0715957719
RISTORANTE	Avalon di Cristiano Bucaioni	loc. Dolciano, 9	CHIUSI	53043	Siena	avalontaverna@libero.it	578264036		-0	-0
RISTORANTE	Aviazione Campo di Marte	viale Malta, 4	Campo di Marte, FIRENZE	50137	Firenze	aviazionecampodimarte@virgilio.it	055 5801358	055 5801358	43.7760338	11.2815209
RISTORANTE	B&B Belvedere	Piazza San Tommaso, 33	Belvedere, SUVERETO	57028	Livorno	info@belvederedisuvereto.it	0565 827071		43.0766833	10.6784441
RISTORANTE	B. di M. eugenio	via machiavelli	VIAREGGIO	55049	Lucca	eugenio.vassalle@libero.it	584583387		-0	-0
RISTORANTE	Baccarossa	Via Ghibellina, 46r	FIRENZE	50122	Firenze	info@baccarossa.it	055 240620	055 240620	43.7695306	11.2649903
RISTORANTE	Bacco & la Volpe	via dei poderini,1	Castelnuovo della Misericordia, ROSIGNANO MARITTIMO	57016	Livorno	volpesilvia@hotmail.it	0586/744323		-0	-0
RISTORANTE	Bacco Goloso	Via dei 5 Martiri, 3	CARMIGNANO	59015	Prato		055 8751433		-0	-0
RISTORANTE	Baccus L'Osteria	Corso Rosellino, 70	PIENZA	53026	Siena	Baccus.osteria@libero.it	0578 749080	0578 749080	43.0763404	11.6806739
RISTORANTE	Bagno La Perla	Viale della Vittoria, 72	CECINA	57023	Livorno		0586 621196		43.294205	10.498004
RISTORANTE	Bagno Lelia	Terrazza della Repubblica 21	Citt� Giardino, VIAREGGIO	55049	Lucca	info@bagnolelia.it	58450006	58450006	43.8840098	10.2332009
RISTORANTE	Bagno Ristorante il Cavallone	Viale Sergio Bernardini 722	Lido Di Camaiore, CAMAIORE	55041	Lucca	laura.bagnocavallone@gmail.com	584610554		43.9421402	10.2969083
RISTORANTE	bagou bally juvenal	via maromme 30/6	SIGNA	50058	Firenze	ballyjuvenal@gmail.com	3927807905		-0	-0
RISTORANTE	Bahia	Via Martiri di Sant'Anna, 66	FORTE DEI MARMI	55042	Lucca	alba.182@hotmail.it	0584/48403 - 345/9882831		-0	-0
RISTORANTE	banca della bistecca	via galilei	lavaiano, LARI	56035	Pisa	castero57@gmail.com	0587 616121		-0	-0
RISTORANTE	Bar La Mandria	Centro di Pescia Fiorentina	Pescia Fiorentina, CAPALBIO	58011	Grosseto	info@antoniozizicapalbio.com	564895219		42.4367266	11.4765982
RISTORANTE	bar la piazza	piazza tanucci	STIA	52017	Arezzo	boccalini@confcommercio.ar.it	3392530721		-0	-0
RISTORANTE	Bar Petrarca	Piazzale Porta Romana, 6/r	FIRENZE		Firenze				43.760288	11.242266
RISTORANTE	Bar Pizzaria Il Faro	Via del Secco, 146	Lido di Camaiore, CAMAIORE	55041	Lucca		0584 618007		43.903511	10.221728
RISTORANTE	bar pizzeria il boschetto	via il cerro 120/C	CAPRESE MICHELANGELO	52033	Arezzo		0575 793731		43.638543	11.98751
RISTORANTE	Bar Pizzeria Osteria Conca d'Oro	Via Chiantigiana, 31 - Panzano in Chianti	Panzano in Chianti, GREVE IN CHIANTI	50022	Firenze	info@pizzeriaconcadoro.it	055 850602		43.541058	11.31693
RISTORANTE	Bar Risorante Albergo Riva del lago	Via Rimessa Agliano	MINUCCIANO	55034	Lucca	rivadellago@libero.it	0583 610086		44.166105	10.249846
RISTORANTE	Bar ristorante Perbaccio	Via Galvani, 9	PISTOIA	51100	Pistoia	baccoperbacco2011@yahoo.it	0573/530049	0573/530049	43.9336789492	10.9323213846
RISTORANTE	Bar Ristorante Romoli	Via Giuseppe Garibaldi, 20	Cupi, MAGLIANO IN TOSCANA	58051	Grosseto		0564 589811		42.64504423	11.32128102
RISTORANTE	Bar S.Firenze	Piazza San Firenze, 1/r	FIRENZE		Firenze	barsanfirenze@tele2.it	055 211426		43.769751	11.257623
RISTORANTE	Bar Sibra Caf�	Via Toti, 21 A	MONTECATINI TERME		Pistoia		57275786	57275786	-0	-0
RISTORANTE	Bar Trattoria Da Ginone	Via dei Serragli, 35/r	FIRENZE	50124	Firenze	trattoriaginone@interfree.it	055 218758	055 218758	43.7672272391	11.2455222703
RISTORANTE	Barlume Caf�	Via Volpe 120	Ospedaletto, PISA	56121	Pisa	daniela@barlume-cafe.it	3282992558		43.680974	10.4382515
RISTORANTE	Barone di Ferro	Piazza Rossi 1	San Gusm�, CASTELNUOVO BERARDENGA	53019	Siena	info@baronediferro.it	577359194		43.387852	11.498011
RISTORANTE	Bastian Contrario Osteria	via San Paolino 69	LUCCA	55100	Lucca	info@bastiancontrarioosteria.it	58353403		43.8429967	10.4993137
RISTORANTE	Bellezza	Via Ciro Menotti, 35/E	Marina di Carrara, CARRARA	54033	Massa Carrara	ristorantebellezza@gmail.com	0585 788862		44.0380131	10.0463695
RISTORANTE	Biagio Pignatta	Viale Papa Giovanni XXIII	CARMIGNANO	59015	Prato	ristorante@artimino.com	055 8751406		43.782748844	11.0430088689
RISTORANTE	Bibere	Via della Libert� 59/a	MONTESCUDAIO	56040	Pisa	ristorantebiberenoteca@gmail.com	0586.685888 - 327.0969096		43.326059	10.627457
RISTORANTE	BIOVEGGY	Via Erbosa 12r	FIRENZE	50100	Firenze	info@bioveggy.it	3338359787	055 670268	43.7960017	11.1464172
RISTORANTE	Birreria Red Lio	Via Paolo Savi, 367	VIAREGGIO	55049	Lucca		338 7538202		43.8619	10.244282
RISTORANTE	Birrificio Artigianale Lilium	via rossi 2	SIGNA	50058	Firenze	alfredo@birrificiolilium.com	3384388671		-0	-0
RISTORANTE	BISTROT	VIA MAMMIANESE 1	VELLANO, PESCIA	51017	Pistoia	serenabeccari@tiscali.it	0572-409159		-0	-0
RISTORANTE	Bistrot 29	Piazza della Repubblica, 29	Centro Storico, PORTOFERRAIO	57037	Livorno	info@bistrot29.com			-0	-0
RISTORANTE	BISTROT RISTORANTE PIZZERIA	B.GO GIACOMO MATTEOTTI Nﾰ1	VELLANO FRAZ. PESCIA, PESCIA	51017	Pistoia	serenabeccari@virgilio.it	0572 409159		43.9073209	10.6891311
RISTORANTE	Boca Chica	Viale Europa, 1	Torre del Lago, VIAREGGIO	55049	Lucca		0584 350976		43.85556	10.24406
RISTORANTE	Boccanegra	Via Ghibellina, 124/r	FIRENZE	50122	Firenze	info@boccanegra.com	055 2263038	055 2001098	43.7702809	11.2613011
RISTORANTE	Boccon Divino snc	Via Cafaggiolo, 10	Palaie, PELAGO		Firenze	info@boccondivinofirenze.it	055 8311279	055 8311279	43.7711545979	11.4662765456
RISTORANTE	Borgo Antico	Piazza Santo Spirito, 6/r	FIRENZE	50100	Firenze	albertogargelli@alice.it	055 210437		43.766466	11.247524
RISTORANTE	BORGO LA FORNACE RISTORANTE LA FUGA	VIA PROV. DELL'ECCE HOMO	MONTIGNOSO, GAMBASSI TERME	50050	Firenze	info@borgolafornace.it	0571 1695313		-0	-0
RISTORANTE	borgo san jacopo	via borgo san jacopo 32/r	FIRENZE	50125	Firenze	bsj@lungarnocollection.com	55281661		43.7006504	10.7444344
RISTORANTE	Botton d'Oro	Via del Ponte Guasperini, 873	San Lorenzo a Vaccoli, LUCCA	55100	Lucca	bottondoro@albergovillamarta.it	0583 370707	0583 379999	43.7992898	10.4867348
RISTORANTE	BREAK FOOD	Via Santa Maria Goretti	VIAREGGIO	55049	Lucca	marzorati63@gmail.com	328/9787161		-0	-0
RISTORANTE	buca di michelangelo	via roma 51	CAPRESE MICHELANGELO	52033	Arezzo	albergo@bucadimichelangelo.it	0575 793921	0575 793941	43.671313	12.040567
RISTORANTE	Buca di S. Antonio	Via della Cervia, 3	LUCCA	55100	Lucca	info@bucadisantantonio.com	0583 55881	0583 312199	43.8426944	10.501578
RISTORANTE	buoninsegna	strada per poggio santa cecilia	buoninsegna, RAPOLANO TERME	53040	Siena	info@buoninsegna.it	0577 724380		-0	-0
RISTORANTE	Butterfly	S.S 192 del Brennero	Marlia, LUCCA	55100	Lucca	info@ristorantebutterfly.it	0583.307573		43.854714	10.5096319
RISTORANTE	C'era una volta	Localit� Piano di Bibola, 2	AULLA	54011	Massa Carrara	ceraunavolta@fastwebnet.it	0187 409798		-0	-0
RISTORANTE	C� del Setta	via della Badia, 16	Montepiano, VERNIO	59026	Prato	cadelsetta@gmail.com	0574 959829		-0	-0
RISTORANTE	Caciosteria Due Ponti	Via Ponte della Venturina 47	Pavana, SAMBUCA PISTOIESE	51020	Pistoia	caciomania@alice.it	572892520		44.149848	10.98496
RISTORANTE	Caciosteria I due Ponti	Via Ponte Venturina 47	Pavana, SAMBUCA PISTOIESE	51020	Pistoia	caciomania@alice.it	0573 892520	0573 892520	44.1287488	10.996023
RISTORANTE	caff� al n.5	piazza Mino,5	FIESOLE	50014	Firenze	caffealn.5@gmail.com	05559250  3408528393		43.8068907	11.2935483
RISTORANTE	caff� dei fornelli	piazzetta dei Fornelli 3-4	VOLTERRA	56048	Pisa	caffedeifornelli@rgilio.it			-0	-0
RISTORANTE	Caff� del '900	Borgo Ognissanti, 3/r	FIRENZE		Firenze	caffedel900@aol.it,axcsar@tin.it	055 218390	055 218390	43.771269	11.247453
RISTORANTE	Caff� delle Mura	piazzale Vittorio Emanuele 2	LUCCA	55100	Lucca	info@caffedellemuralucca.it	0583.464552		43.8420553	10.4997761
RISTORANTE	Caff� Grande	via monte Matanna 1/A	VIAREGGIO	55049	Lucca	giovanni.margaglia@libero.it	349 3070024		43.8759015	10.256381
RISTORANTE	Caff� La Corte	Via del Ceppo 2	PISTOIA	51100	Pistoia	caffelacorte3@virgilio.it	0573-358369		43.9354821	10.9198296
RISTORANTE	Caff� Le Rose	Piazza dell'Unit� Italiana, 1/r	FIRENZE	50123	Firenze	a.cursano@alice.it	055 218909	055 7134800	43.7751777	11.2503073
RISTORANTE	Caff� Poliziano	Via Voltaia del Corso, 27/29	MONTEPULCIANO	53045	Siena	caffepoliziano@libero.it	0578/758615	0578/752856	-0	-0
RISTORANTE	Caff� ristorante Gli Artisti	Piazza Giovanni XXIII, n. 4	PISTOIA	51100	Pistoia	info@ristocafgliartisti.it	0573 9776391	0573 9776391	43.9347001	10.9183208
RISTORANTE	Caff� ristorante Gli Artisti	Piazza Giovanni XXIII, 4	PISTOIA	51100	Pistoia	info@ristocafgliartisti.it	+39 0573 976391	+39 0573 976391	43.9307528	10.92036
RISTORANTE	Caff� Stazione	Via Ridolfi, 34	CASTELFIORENTINO		Firenze	caffestazione@caffestazione.it	0571 64164	0571 64164	43.605489	10.968381
RISTORANTE	CAFFE' DEL TEATRO	PIAZZA SIGNORELLI 13	CORTONA	52043	Arezzo	theglobe@cat.it	575601882		43.2756403	11.9851428
RISTORANTE	Caff�scondido	Via del Carmine, 65	PORTOFERRAIO	57037	Livorno	alexandra-66@libero.it	340 3400881		42.8154192	10.3296809
RISTORANTE	CAFFETTERIA DELLE OBLATE	via dell'Oriuolo 26	FIRENZE	50122	Firenze	barbara.setti@archeologia.it	552639286	55576938	43.7723447	11.2597448
RISTORANTE	Caffetteria Pardini	Via Cesare Battisti nﾰ 139	VIAREGGIO		Lucca	info@caffetteriapardini.it	349 7103745		43.8690824351	10.2478681279
RISTORANTE	Calamoresca	golfo calamoresca Salivoli	Salivoli, PIOMBINO	57025	Livorno	calamorescabeach@gmail.com	56542029	56542029	42.934784	10.517943
RISTORANTE	California Park Hotel Restaurant	Via Aurelia Km. 338	Madonna dell'Acqua, SAN GIULIANO TERME	56017	Pisa	info@parkhotelcalifornia.it			-0	-0
RISTORANTE	Cantina Barbagianni	via S. Egidio, 13r	FIRENZE	0	Firenze	info@cantinabarbagianni.it	055 2480508		43.7723346	11.2609135
RISTORANTE	Cantina Barbagianni	Via S.Egidio 13/r	FIRENZE	50122	Firenze	lina.alongi@gmail.com	055/2480508 - 347/3349789		-0	-0
RISTORANTE	Cantina del Granduca	Piazza Mameli, 13	ANGHIARI	53031	Arezzo	cantinadelgranduca@yahoo.it	0575 788275		43.5406639	12.0562196
RISTORANTE	Cantina delle Pianacce	via Nazionale 193 - ghivizzano	COREGLIA ANTELMINELLI	55025	Lucca	lacantinadellepianacce@yahoo.it	0583.779162		44.025559	10.521238
RISTORANTE	Cantina Tito's	Piazza della Sala, 1	PISTOIA	51100	Pistoia	cantinatitos@gmail.com	328 8259690 - 0573308240		43.9326407605	10.9162209212
RISTORANTE	Cantine Bernardini	Via del Suffragio, 7	LUCCA	55100	Lucca	info@cantinebernardini.com	0583 494336	0583 494336	43.842786	10.5055852
RISTORANTE	Casa del Chiodo	Via Oberdan 8 Piloni (Gr)	Piloni, ROCCASTRADA	58036	Grosseto	casadelchiodo@virgilio.it	564575487		43.0111087	11.1672091
RISTORANTE	Casa del Pellegrino	Loc. Monte Argegna 29	MINUCCIANO	55034	Lucca		0583 611012		-0	-0
RISTORANTE	Casa dell'orzo	via vittorio emanuele 49	CASTAGNETO CARDUCCI	57022	Livorno	casadellorzo@gmail.com	565763267		43.1604036	10.6082021
RISTORANTE	CASA DI CACCIA	VIA DEL MARE 40	MARINA DI BIBBONA, BIBBONA	57020	Livorno	info@campingcasadicaccia.com	586600000		43.246011	10.52504
RISTORANTE	Casa di Caccia	via del Mare, 40 c/o Campeggio casa di Caccia	marina Bibbona, BIBBONA		Livorno	info@sterne.it - info@campingcasadicaccia.com	3381537135		-0	-0
RISTORANTE	casa di cacia	via del mare 40	marina di bibbona, BIBBONA	57020	Livorno	info@campingcasadicaccia.com	586600000		-0	-0
